                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7917,                 2.7783,                 1.6627,                0.44315,                0.38656,                0.29963,                0.16568,                 1.5117,                 12.405,                 1.3268,              0.0006619,              0.0006619,              0.0006619
                      2,                 1.8977,                 2.0524,                 1.7751,                0.71645,                0.52381,                0.57984,                0.35801,                 1.6398,                 3.5779,                 1.4392,               0.001197,               0.001197,               0.001197
                      3,                 1.9317,                 1.9309,                  1.825,                0.57374,                0.46151,                0.43881,                0.21942,                 1.8341,                 2.0789,                 1.5302,              0.0016002,              0.0016002,              0.0016002
                      4,                 1.8367,                 1.7836,                 1.7583,                0.71351,                0.57143,                0.61366,                0.36666,                  1.566,                 1.4591,                 1.3864,               0.001406,               0.001406,               0.001406
                      5,                 1.6831,                 1.5854,                 1.6549,                0.79945,                0.59048,                0.67322,                0.40565,                 1.4386,                 1.3363,                 1.3687,               0.001208,               0.001208,               0.001208
                      6,                 1.6023,                 1.4383,                 1.5884,                0.69499,                0.65104,                0.71751,                0.50315,                 1.2411,                 1.1627,                 1.2127,                0.00101,                0.00101,                0.00101
                      7,                 1.5036,                 1.3008,                  1.522,                0.87514,                0.69524,                0.78663,                0.48968,                 1.1986,                 1.0443,                 1.1586,               0.000812,               0.000812,               0.000812
                      8,                  1.426,                 1.1682,                 1.4478,                0.95043,                0.73037,                0.82567,                0.60429,                 1.0135,                0.83404,                  1.107,               0.000614,               0.000614,               0.000614
                      9,                 1.3498,                 1.0747,                 1.4184,                 0.9232,                 0.7619,                0.85998,                0.59768,                0.97674,                0.80018,                 1.0821,               0.000416,               0.000416,               0.000416
                     10,                 1.2692,                0.96697,                 1.3531,                0.97101,                0.74286,                0.87579,                0.64795,                0.91039,                0.69622,                  1.047,               0.000218,               0.000218,               0.000218
